[ 2021-12-03 21:47:35,568 ] Asset loading complete
[ 2021-12-03 21:48:03,534 ] Didn't send news query with params ( 0 4 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-12-03 21:48:05,306 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 21:48:05,311 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Forgotten"
[ 2021-12-03 21:48:05,323 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Forgotten"
[ 2021-12-03 21:48:05,373 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Forgotten"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-03 21:48:05,379 ] Disconnected from gameserver
[ 2021-12-03 21:48:06,426 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-12-03 21:49:55,719 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-12-03 21:49:57,082 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 21:49:57,083 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Forgotten"
[ 2021-12-03 21:49:57,095 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Forgotten"
[ 2021-12-03 21:49:57,123 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Forgotten"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-03 21:49:57,128 ] Disconnected from gameserver
[ 2021-12-03 21:49:58,101 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-12-03 21:49:58,536 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-12-03 21:50:07,264 ] Asset loading complete
[ 2021-12-03 21:50:13,859 ] Asset loading complete
[ 2021-12-03 21:50:37,866 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-12-03 21:50:40,303 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 21:50:40,308 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-12-03 21:50:40,319 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-12-03 21:50:41,319 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-12-03 22:15:20,766 ] Asset loading complete
[ 2021-12-03 22:15:26,268 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36/login.php") ) due to too many retries.
[ 2021-12-03 22:15:27,605 ] Request connection to gameserver  "tcp://106.69.247.36:7172"  (unprotected:  "tcp://106.69.247.36:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 22:15:27,609 ] Request connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-03 22:15:27,614 ] Connected to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-03 22:15:27,633 ] Connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-03 22:15:27,638 ] Disconnected from gameserver
[ 2021-12-03 22:15:28,651 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36/login.php") ) due to too many retries.
[ 2021-12-03 22:17:40,524 ] Asset loading complete
[ 2021-12-03 22:17:45,699 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36/login.php") ) due to too many retries.
[ 2021-12-03 22:17:46,611 ] Request connection to gameserver  "tcp://106.69.247.36:7172"  (unprotected:  "tcp://106.69.247.36:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 22:17:46,615 ] Request connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-03 22:17:46,619 ] Connected to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-03 22:17:47,650 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36/login.php") ) due to too many retries.
[ 2021-12-03 22:17:51,735 ] Connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-03 22:17:51,774 ] Disconnected from gameserver
[ 2021-12-03 22:17:51,906 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36/login.php") ) due to too many retries.
[ 2021-12-03 22:23:26,796 ] Asset loading complete
[ 2021-12-03 22:23:31,144 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36/login.php") ) due to too many retries.
[ 2021-12-03 22:23:34,618 ] Request connection to gameserver  "tcp://106.69.247.36:7172"  (unprotected:  "tcp://106.69.247.36:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 22:23:34,622 ] Request connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-03 22:23:34,626 ] Connected to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-03 22:23:35,671 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36/login.php") ) due to too many retries.
[ 2021-12-03 22:24:01,274 ] Connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-03 22:24:01,314 ] Disconnected from gameserver
[ 2021-12-03 22:24:01,446 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36/login.php") ) due to too many retries.
[ 2021-12-03 23:06:24,019 ] Asset loading complete
[ 2021-12-03 23:06:38,165 ] Asset loading complete
[ 2021-12-03 23:09:08,598 ] Asset loading complete
[ 2021-12-03 23:09:22,666 ] Asset loading complete
[ 2021-12-03 23:10:17,204 ] Asset loading complete
[ 2021-12-03 23:10:29,185 ] Asset loading complete
[ 2021-12-03 23:11:37,005 ] Asset loading complete
[ 2021-12-03 23:11:39,429 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:11:40,658 ] Request connection to gameserver  "tcp://106.69.247.36:801:7172"  (unprotected:  "tcp://106.69.247.36:801:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 23:11:40,662 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:40,686 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:41,689 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:41,724 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:11:41,739 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:41,744 ] Disconnected from gameserver
[ 2021-12-03 23:11:42,886 ] Request connection to gameserver  "tcp://106.69.247.36:801:7172"  (unprotected:  "tcp://106.69.247.36:801:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 23:11:42,887 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:42,937 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:43,935 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:11:43,942 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:43,991 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:43,995 ] Disconnected from gameserver
[ 2021-12-03 23:11:45,135 ] Request connection to gameserver  "tcp://106.69.247.36:801:7172"  (unprotected:  "tcp://106.69.247.36:801:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 23:11:45,137 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:45,186 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:46,120 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:11:46,191 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:46,240 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:46,243 ] Disconnected from gameserver
[ 2021-12-03 23:11:47,381 ] Request connection to gameserver  "tcp://106.69.247.36:801:7172"  (unprotected:  "tcp://106.69.247.36:801:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 23:11:47,385 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:47,439 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:48,367 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
